file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_02.xls,2016,2,2015,2,CEZAYİR,7127
tourism_2016_02.xls,2016,2,2016,2,CEZAYİR,8259
tourism_2016_02.xls,2016,2,2015,2,FAS,5901
tourism_2016_02.xls,2016,2,2016,2,FAS,6948
tourism_2016_02.xls,2016,2,2015,2,LİBYA,16839
tourism_2016_02.xls,2016,2,2016,2,LİBYA,5453
tourism_2016_02.xls,2016,2,2015,2,SUDAN,570
tourism_2016_02.xls,2016,2,2016,2,SUDAN,614
tourism_2016_02.xls,2016,2,2015,2,MISIR,6676
tourism_2016_02.xls,2016,2,2016,2,MISIR,7774
tourism_2016_02.xls,2016,2,2015,2,TUNUS,6717
tourism_2016_02.xls,2016,2,2016,2,TUNUS,7202
tourism_2016_02.xls,2016,2,2015,2,DIĞ.AFRIKA ÜLKELERI,6708
tourism_2016_02.xls,2016,2,2016,2,DIĞ.AFRIKA ÜLKELERI,6877
tourism_2016_02.xls,2016,2,2015,2,B.A.EMİRLİĞİ,1786
tourism_2016_02.xls,2016,2,2016,2,B.A.EMİRLİĞİ,1537
tourism_2016_02.xls,2016,2,2015,2,BAHREYN,2516
tourism_2016_02.xls,2016,2,2016,2,BAHREYN,3199
tourism_2016_02.xls,2016,2,2015,2,KATAR,1626
tourism_2016_02.xls,2016,2,2016,2,KATAR,1509
tourism_2016_02.xls,2016,2,2015,2,KUVEYT,9492
tourism_2016_02.xls,2016,2,2016,2,KUVEYT,8058
tourism_2016_02.xls,2016,2,2015,2,IRAK,47999
tourism_2016_02.xls,2016,2,2016,2,IRAK,36289
tourism_2016_02.xls,2016,2,2015,2,LÜBNAN,7603
tourism_2016_02.xls,2016,2,2016,2,LÜBNAN,10251
tourism_2016_02.xls,2016,2,2015,2,ÜRDÜN,5339
tourism_2016_02.xls,2016,2,2016,2,ÜRDÜN,7700
tourism_2016_02.xls,2016,2,2015,2,S.ARABİSTAN,13885
tourism_2016_02.xls,2016,2,2016,2,S.ARABİSTAN,12485
tourism_2016_02.xls,2016,2,2015,2,K.K.T.C.,18745
tourism_2016_02.xls,2016,2,2016,2,K.K.T.C.,19305
tourism_2016_02.xls,2016,2,2015,2,İSRAİL,5823
tourism_2016_02.xls,2016,2,2016,2,İSRAİL,9583
tourism_2016_02.xls,2016,2,2015,2,YEMEN,1916
tourism_2016_02.xls,2016,2,2016,2,YEMEN,1191
tourism_2016_02.xls,2016,2,2015,2,BANGLADEŞ,703
tourism_2016_02.xls,2016,2,2016,2,BANGLADEŞ,622
tourism_2016_02.xls,2016,2,2015,2,ÇİN HALK CUM.,19116
tourism_2016_02.xls,2016,2,2016,2,ÇİN HALK CUM.,13569
tourism_2016_02.xls,2016,2,2015,2,ENDONEZYA,3571
tourism_2016_02.xls,2016,2,2016,2,ENDONEZYA,3082
tourism_2016_02.xls,2016,2,2015,2,FİLİPİNLER,3574
tourism_2016_02.xls,2016,2,2016,2,FİLİPİNLER,3376
tourism_2016_02.xls,2016,2,2015,2,HİNDİSTAN,6395
tourism_2016_02.xls,2016,2,2016,2,HİNDİSTAN,5018
tourism_2016_02.xls,2016,2,2015,2,İRAN,106916
tourism_2016_02.xls,2016,2,2016,2,İRAN,124962
tourism_2016_02.xls,2016,2,2015,2,MALEZYA,5197
tourism_2016_02.xls,2016,2,2016,2,MALEZYA,4524
tourism_2016_02.xls,2016,2,2015,2,PAKİSTAN,3425
tourism_2016_02.xls,2016,2,2016,2,PAKİSTAN,3020
tourism_2016_02.xls,2016,2,2015,2,SİNGAPUR,1330
tourism_2016_02.xls,2016,2,2016,2,SİNGAPUR,1050
tourism_2016_02.xls,2016,2,2015,2,TAYLAND,1129
tourism_2016_02.xls,2016,2,2016,2,TAYLAND,604
