freq,statinfo,unit,currency,year,month,exchange_rate
M,AVG,NAC,BRL,2015,5,3.4105
M,AVG,NAC,BRL,2015,6,3.4941
M,AVG,NAC,BRL,2015,7,3.5405
M,AVG,NAC,BRL,2015,8,3.9118
M,AVG,NAC,BRL,2015,9,4.3666
M,AVG,NAC,BRL,2015,10,4.3599
M,AVG,NAC,BRL,2015,11,4.0601
M,AVG,NAC,BRL,2015,12,4.2145
M,AVG,NAC,BRL,2016,1,4.4021
M,AVG,NAC,BRL,2016,2,4.3953
M,AVG,NAC,BRL,2016,3,4.1195
M,AVG,NAC,BRL,2016,4,4.0374
M,AVG,NAC,BRL,2016,5,3.9983
M,AVG,NAC,BRL,2016,6,3.857
M,AVG,NAC,BRL,2016,7,3.6263
M,AVG,NAC,BRL,2016,8,3.5983
M,AVG,NAC,BRL,2016,9,3.6436
M,AVG,NAC,BRL,2016,10,3.5158
M,AVG,NAC,BRL,2016,11,3.6056
M,AVG,NAC,BRL,2016,12,3.5405
M,AVG,NAC,BRL,2017,1,3.3929
M,AVG,NAC,BRL,2017,2,3.3022
M,AVG,NAC,BRL,2017,3,3.3413
M,AVG,NAC,BRL,2017,4,3.362
M,AVG,NAC,BRL,2017,5,3.5424
M,AVG,NAC,BRL,2017,6,3.6948
M,AVG,NAC,BRL,2017,7,3.6928
M,AVG,NAC,BRL,2017,8,3.7201
M,AVG,NAC,BRL,2017,9,3.7316
M,AVG,NAC,BRL,2017,10,3.7503
M,AVG,NAC,BRL,2017,11,3.8246
M,AVG,NAC,BRL,2017,12,3.8941
M,AVG,NAC,BRL,2018,1,3.917
M,AVG,NAC,BRL,2018,2,4.0109
M,AVG,NAC,BRL,2018,3,4.0426
M,AVG,NAC,BRL,2018,4,4.1815
M,AVG,NAC,BRL,2018,5,4.2912
M,AVG,NAC,BRL,2018,6,4.4049
M,AVG,NAC,BRL,2018,7,4.4765
M,AVG,NAC,BRL,2018,8,4.5357
M,AVG,NAC,BRL,2018,9,4.8013
M,AVG,NAC,BRL,2018,10,4.3246
M,AVG,NAC,BRL,2018,11,4.2973
M,AVG,NAC,BRL,2018,12,4.4214
M,AVG,NAC,BRL,2019,1,4.27
M,AVG,NAC,BRL,2019,2,4.2234
M,AVG,NAC,BRL,2019,3,4.3369
M,AVG,NAC,BRL,2019,4,4.374
M,AVG,NAC,BRL,2019,5,4.4797
M,AVG,NAC,BRL,2019,6,4.36
M,AVG,NAC,BRL,2019,7,4.2416
M,AVG,NAC,BRL,2019,8,4.4649
M,AVG,NAC,BRL,2019,9,4.5307
M,AVG,NAC,BRL,2019,10,4.5212
M,AVG,NAC,BRL,2019,11,4.59
M,AVG,NAC,BRL,2019,12,4.57
M,AVG,NAC,BRL,2020,1,4.602
M,AVG,NAC,BRL,2020,2,4.7327
M,AVG,NAC,BRL,2020,3,5.3986
M,AVG,NAC,BRL,2020,4,5.7807
M,AVG,NAC,BRL,2020,5,6.1499
M,AVG,NAC,BRL,2020,6,5.8377
M,AVG,NAC,BRL,2020,7,6.059
M,AVG,NAC,BRL,2020,8,6.4381
M,AVG,NAC,BRL,2020,9,6.3663
M,AVG,NAC,BRL,2020,10,6.617
M,AVG,NAC,BRL,2020,11,6.4324
M,AVG,NAC,BRL,2020,12,6.2658
M,AVG,NAC,BRL,2021,1,6.5102
M,AVG,NAC,BRL,2021,2,6.5434
M,AVG,NAC,BRL,2021,3,6.7247
M,AVG,NAC,BRL,2021,4,6.6565
M,AVG,NAC,BRL,2021,5,6.4462
M,AVG,NAC,BRL,2021,6,6.0693
M,AVG,NAC,BRL,2021,7,6.093
M,AVG,NAC,BRL,2021,8,6.1884
M,AVG,NAC,BRL,2021,9,6.1966
M,AVG,NAC,BRL,2021,10,6.4204
M,AVG,NAC,BRL,2021,11,6.3434
M,AVG,NAC,BRL,2021,12,6.3841
M,AVG,NAC,BRL,2022,1,6.2673
M,AVG,NAC,BRL,2022,2,5.8903
M,AVG,NAC,BRL,2022,3,5.4884
M,AVG,NAC,BRL,2022,4,5.1342
M,AVG,NAC,BRL,2022,5,5.246
M,AVG,NAC,BRL,2022,6,5.3209
M,AVG,NAC,BRL,2022,7,5.4718
M,AVG,NAC,BRL,2022,8,5.2111
M,AVG,NAC,BRL,2022,9,5.1791
M,AVG,NAC,BRL,2022,10,5.1658
M,AVG,NAC,BRL,2022,11,5.3846
M,AVG,NAC,BRL,2022,12,5.5589
M,AVG,NAC,BRL,2023,1,5.6047
M,AVG,NAC,BRL,2023,2,5.5386
M,AVG,NAC,BRL,2023,3,5.5784
M,AVG,NAC,BRL,2023,4,5.4995
M,AVG,NAC,BRL,2023,5,5.4092
M,AVG,NAC,BRL,2023,6,5.2695
M,AVG,NAC,BRL,2023,7,5.3099
M,AVG,NAC,BRL,2023,8,5.3427
M,AVG,NAC,BRL,2023,9,5.277
M,AVG,NAC,BRL,2023,10,5.3509
M,AVG,NAC,BRL,2023,11,5.2963
M,AVG,NAC,BRL,2023,12,5.3428
M,AVG,NAC,BRL,2024,1,5.3569
M,AVG,NAC,BRL,2024,2,5.3559
M,AVG,NAC,BRL,2024,3,5.4157
M,AVG,NAC,BRL,2024,4,5.4975
M,AVG,NAC,BRL,2024,5,5.5529
M,AVG,NAC,BRL,2024,6,5.7884
M,AVG,NAC,BRL,2024,7,6.0053
M,AVG,NAC,BRL,2024,8,6.1193
M,AVG,NAC,BRL,2024,9,6.1528
M,AVG,NAC,BRL,2024,10,6.1195
M,AVG,NAC,BRL,2024,11,6.1729
M,AVG,NAC,BRL,2024,12,6.3843
M,AVG,NAC,BRL,2025,1,6.2408
M,AVG,NAC,BRL,2025,2,6.0053
M,AVG,NAC,BRL,2025,3,6.2368
M,AVG,NAC,BRL,2025,4,6.4759
M,AVG,NAC,BRL,2025,5,6.3953
M,AVG,NAC,BRL,2025,6,6.3913
M,AVG,NAC,BRL,2025,7,6.4611
M,AVG,NAC,BRL,2025,8,6.3439
M,AVG,NAC,BRL,2025,9,6.3013
M,AVG,NAC,BRL,2025,10,6.2614
M,AVG,NAC,BRL,2025,11,6.1728
M,AVG,NAC,BRL,2025,12,6.3806
M,AVG,NAC,CAD,2015,1,1.4039
M,AVG,NAC,CAD,2015,2,1.4199
M,AVG,NAC,CAD,2015,3,1.366
M,AVG,NAC,CAD,2015,4,1.3313
M,AVG,NAC,CAD,2015,5,1.3568
M,AVG,NAC,CAD,2015,6,1.3854
M,AVG,NAC,CAD,2015,7,1.4124
M,AVG,NAC,CAD,2015,8,1.4637
M,AVG,NAC,CAD,2015,9,1.4882
M,AVG,NAC,CAD,2015,10,1.4685
M,AVG,NAC,CAD,2015,11,1.4248
M,AVG,NAC,CAD,2015,12,1.4904
M,AVG,NAC,CAD,2016,1,1.5447
M,AVG,NAC,CAD,2016,2,1.5317
M,AVG,NAC,CAD,2016,3,1.4697
M,AVG,NAC,CAD,2016,4,1.4559
M,AVG,NAC,CAD,2016,5,1.4626
M,AVG,NAC,CAD,2016,6,1.4477
M,AVG,NAC,CAD,2016,7,1.4428
M,AVG,NAC,CAD,2016,8,1.4557
M,AVG,NAC,CAD,2016,9,1.4677
M,AVG,NAC,CAD,2016,10,1.4594
M,AVG,NAC,CAD,2016,11,1.4519
M,AVG,NAC,CAD,2016,12,1.407
M,AVG,NAC,CAD,2017,1,1.4032
M,AVG,NAC,CAD,2017,2,1.3942
M,AVG,NAC,CAD,2017,3,1.4306
M,AVG,NAC,CAD,2017,4,1.4408
M,AVG,NAC,CAD,2017,5,1.5041
M,AVG,NAC,CAD,2017,6,1.4941
M,AVG,NAC,CAD,2017,7,1.4641
M,AVG,NAC,CAD,2017,8,1.4889
M,AVG,NAC,CAD,2017,9,1.4639
M,AVG,NAC,CAD,2017,10,1.4801
M,AVG,NAC,CAD,2017,11,1.4978
M,AVG,NAC,CAD,2017,12,1.5108
M,AVG,NAC,CAD,2018,1,1.5166
M,AVG,NAC,CAD,2018,2,1.5526
M,AVG,NAC,CAD,2018,3,1.5943
M,AVG,NAC,CAD,2018,4,1.5622
M,AVG,NAC,CAD,2018,5,1.5197
M,AVG,NAC,CAD,2018,6,1.5327
M,AVG,NAC,CAD,2018,7,1.5356
M,AVG,NAC,CAD,2018,8,1.5063
M,AVG,NAC,CAD,2018,9,1.5211
M,AVG,NAC,CAD,2018,10,1.4935
M,AVG,NAC,CAD,2018,11,1.4998
M,AVG,NAC,CAD,2018,12,1.5278
M,AVG,NAC,CAD,2019,1,1.5196
M,AVG,NAC,CAD,2019,2,1.4995
M,AVG,NAC,CAD,2019,3,1.5104
M,AVG,NAC,CAD,2019,4,1.5035
M,AVG,NAC,CAD,2019,5,1.5058
M,AVG,NAC,CAD,2019,6,1.5011
